row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
4	1	244	plate.jpg.dat	1	YOR202W_DMA1	468.848630502333	NA	NA
4	2	193.75	plate.jpg.dat	1	YBR045C_DMA205	464.105989144261	NA	NA
4	3	195.5	plate.jpg.dat	1	YBR156C_DMA302	505.111741796416	NA	NA
4	4	105.25	plate.jpg.dat	1	YBR044C_DMA206	252.035748099737	NA	NA
4	5	194.25	plate.jpg.dat	1	YBR151W_DMA303	538.365907649458	NA	NA
4	6	170	plate.jpg.dat	1	YBR043C_DMA207	516.39252684469	NA	status=JK
4	7	169.25	plate.jpg.dat	1	YBR150C_DMA304	475.35406409968	NA	NA
4	8	184.5	plate.jpg.dat	1	YBR042C_DMA208	492.976594182666	NA	status=JK
4	9	179.5	plate.jpg.dat	1	YBR149W_DMA305	500.286719311077	NA	NA
4	10	192.5	plate.jpg.dat	1	YBR041W_DMA209	532.082602527404	NA	NA
4	11	190.5	plate.jpg.dat	1	YBR148W_DMA306	514.992735129788	NA	NA
4	12	184.5	plate.jpg.dat	1	YBR040W_DMA210	489.596425600895	NA	NA
4	13	207.25	plate.jpg.dat	1	YBR147W_DMA307	542.994557127482	NA	NA
4	14	207.25	plate.jpg.dat	1	YBR036C_DMA211	529.968660473529	NA	status=JK
4	15	206.5	plate.jpg.dat	1	YBR146W_DMA308	533.149768994021	NA	status=JK
4	16	109.5	plate.jpg.dat	1	YBR034C_DMA212	254.532227578796	NA	NA
4	17	180.25	plate.jpg.dat	1	YBR145W_DMA309	492.311122802007	NA	NA
4	18	187.75	plate.jpg.dat	1	YBR033W_DMA213	530.934094338248	NA	NA
4	19	186.75	plate.jpg.dat	1	YBR144C_DMA310	542.094044684655	NA	status=JK
4	20	120	plate.jpg.dat	1	YBR032W_DMA214	354.402931449267	NA	NA
4	21	165.75	plate.jpg.dat	1	YBR141C_DMA311	492.439018149316	NA	NA
4	22	178	plate.jpg.dat	1	YBR031W_DMA215	522.365526334111	NA	status=JK
4	23	174.75	plate.jpg.dat	1	YBR139W_DMA312	468.283602143822	NA	status=JK
4	24	222.5	plate.jpg.dat	1	YOR202W_DMA1	489.025464479542	NA	status=JK
5	1	255.25	plate.jpg.dat	1	YOR202W_DMA1	497.473332458856	NA	NA
5	2	203.25	plate.jpg.dat	1	YAL031C_DMA25	499.742756254138	NA	NA
5	3	189.25	plate.jpg.dat	1	YBL052C_DMA122	501.427943152286	NA	NA
5	4	181.75	plate.jpg.dat	1	YAL030W_DMA26	503.164224128473	NA	NA
5	5	177	plate.jpg.dat	1	YBL051C_DMA123	502.430805771218	NA	NA
5	6	180.75	plate.jpg.dat	1	YAL029C_DMA27	532.9170482961	NA	NA
5	7	169.75	plate.jpg.dat	1	YBL049W_DMA124	494.612179467546	NA	NA
5	8	171	plate.jpg.dat	1	YAL028W_DMA28	498.183999518969	NA	status=JK
5	9	186.75	plate.jpg.dat	1	YBL048W_DMA125	543.012407640725	NA	NA
5	10	167.5	plate.jpg.dat	1	YAL027W_DMA29	475.280009440837	NA	NA
5	11	184.5	plate.jpg.dat	1	YBL047C_DMA126	517.733032709947	NA	NA
5	12	187	plate.jpg.dat	1	YAL026C_DMA30	518.458961245768	NA	NA
5	13	195.75	plate.jpg.dat	1	YBL046W_DMA127	529.154823212684	NA	NA
5	14	168.25	plate.jpg.dat	1	YAL023C_DMA31	430.772186363426	NA	status=JK
5	15	200.75	plate.jpg.dat	1	YBL043W_DMA128	538.52439391681	NA	NA
5	16	199.25	plate.jpg.dat	1	YAL022C_DMA32	547.531141180407	NA	status=JK
5	17	184	plate.jpg.dat	1	YBL042C_DMA129	513.832550151266	NA	NA
5	18	189.25	plate.jpg.dat	1	YAL020C_DMA33	525.426219789085	NA	status=JK
