row,col,raw,plateid,query,array,normalized,score,supp
3,34,1599,1,1,258,533.127,0.052,-
3,35,1211,1,1,274,415.612,0.053,-
3,36,1240,1,1,274,439.317,0.099,-
3,37,1343,1,1,290,488.954,-0.088,-
3,38,1461,1,1,290,540.464,0.012,-
3,39,1334,1,1,306,498.25,0.012,-
3,40,1417,1,1,306,524.086,0.062,-
3,41,1477,1,1,322,542.833,0.007,-
3,42,1332,1,1,322,506.05,-0.065,-
3,43,1385,1,1,338,542.434,-0.057,-
3,44,1524,1,1,338,609.922,0.075,-
3,45,1172,1,1,354,494.73,-0.054,-
3,46,1387,1,1,354,549.533,0.053,-
3,47,1488,1,1,370,NA,NA,-
3,48,1269,1,1,370,NA,NA,-
4,1,2117,1,1,2,NA,NA,-
4,2,1760,1,1,2,NA,NA,-
4,3,1797,1,1,18,555.573,-0.014,-
4,4,1679,1,1,18,546.592,-0.032,-
4,5,1624,1,1,34,532.074,-0.002,-
4,6,1732,1,1,34,562.179,0.057,-
4,7,1501,1,1,50,482.131,-0.049,-
4,8,1636,1,1,50,522.243,0.03,-
4,9,1560,1,1,66,495.03,-0.002,-
4,10,1508,1,1,66,479.235,-0.032,-
4,11,1665,1,1,82,542.425,0.045,-
4,12,1590,1,1,82,519.075,-0.001,-
4,13,1627,1,1,98,526.05,0.056,-
4,14,1617,1,1,98,514.2,0.033,-
4,15,1642,1,1,114,522.143,0.003,-
4,16,1638,1,1,114,517.941,-0.005,-
4,17,1614,1,1,130,504.264,-0.024,-
4,18,1728,1,1,130,543.981,0.054,-
4,19,1707,1,1,146,543.892,0.022,-
4,20,1644,1,1,146,519.091,-0.026,-
4,21,1689,1,1,162,522.995,0.082,-
4,22,1641,1,1,162,499.852,0.037,-
4,23,1633,1,1,178,498.452,0.077,-
4,24,1692,1,1,178,515.842,0.111,-
4,25,1800,1,1,194,544.257,0.054,-
4,26,1659,1,1,194,490.533,-0.051,-
4,27,1653,1,1,210,492.6,0.008,-
4,28,1651,1,1,210,494.513,0.012,-
4,29,1750,1,1,226,532.543,-0.015,-
4,30,1773,1,1,226,546.466,0.012,-
4,31,1568,1,1,242,485.837,-0.05,-
4,32,1633,1,1,242,514.884,0.007,-
4,33,1509,1,1,258,479.4,-0.053,-
4,34,1513,1,1,258,491.459,-0.029,-
4,35,1170,1,1,274,389.51,0.002,-
4,36,1302,1,1,274,448.501,0.117,-
4,37,1391,1,1,290,493.409,-0.08,-
4,38,1222,1,1,290,443.234,-0.178,-
4,39,1634,1,1,306,NA,NA,-
4,40,1370,1,1,306,496.69,0.009,-
4,41,1517,1,1,322,546.428,0.014,-
4,42,1403,1,1,322,515.613,-0.046,-
4,43,1143,1,1,338,436.871,-0.263,-
4,44,1454,1,1,338,560.062,-0.022,-
4,45,1302,1,1,354,508.519,-0.027,-
4,46,1280,1,1,354,485.257,-0.073,-
4,47,1520,1,1,370,NA,NA,-
4,48,1409,1,1,370,NA,NA,-
5,1,2180,1,1,3,NA,NA,-
5,2,1861,1,1,3,NA,NA,-
5,3,1618,1,1,19,513.3,0.052,-
5,4,1654,1,1,19,554.481,0.133,-
5,5,1557,1,1,35,528.417,0.003,-
5,6,1456,1,1,35,NA,NA,-
5,7,1284,1,1,51,429.314,0.054,-
5,8,1217,1,1,51,402.975,0.003,-
5,9,1603,1,1,67,550.203,0.002,-
5,10,1577,1,1,67,543.815,-0.01,-
5,11,1494,1,1,83,521.084,0.012,-
5,12,1405,1,1,83,490.091,-0.048,-
5,13,1654,1,1,99,579.723,0.014,-
5,14,1692,1,1,99,584.987,0.024,-
