#row  column  size-1  circ-1  MedInt-1
1 1 311 0.915 224
1 2 257 0.924 221
1 3 245 0.925 224
1 4 229 0.882 223
1 5 229 0.928 231
1 6 220 0.891 231
1 7 193 0.937 232
1 8 203 0.942 236
1 9 214 0.933 229
1 10 205 0.942 234
1 11 198 0.91 232
1 12 195 0.947 233
1 13 193 0.959 234
1 14 173 0.919 232
1 15 200 0.919 236
1 16 193 0.959 230
1 17 187 0.938 232
1 18 218 0.921 230
1 19 202 0.929 232
1 20 200 0.919 230
1 21 215 0.929 231
1 22 237 0.94 231
1 23 241 0.956 228
1 24 250 0.917 228
1 25 258 0.946 222
1 26 246 0.885 226
1 27 237 0.895 227
1 28 241 0.936 224
1 29 242 0.94 222
1 30 242 0.932 226
1 31 213 0.928 224
1 32 239 0.948 228
1 33 218 0.921 225
1 34 203 0.933 229
1 35 184 0.945 232
1 36 183 0.918 232
1 37 192 0.963 232
1 38 195 0.938 229
1 39 182 0.913 232
1 40 205 0.913 229
1 41 198 0.931 228
1 42 224 0.935 225
1 43 203 0.933 224
1 44 204 0.909 219
1 45 221 0.914 217
1 46 231 0.908 214
1 47 213 0.9 217
1 48 285 0.909 222
2 1 264 0.898 214
2 2 197 0.906 220
2 3 192 0.903 220
2 4 201 0.945 230
2 5 183 0.931 231
2 6 189 0.909 236
2 7 193 0.928 235
2 8 214 0.953 236
2 9 196 0.901 233
2 10 204 0.929 234
2 11 144 0.899 232
2 12 203 0.904 234
2 13 210 0.915 234
2 14 194 0.942 236
2 15 204 0.929 235
2 16 203 0.913 239
2 17 191 0.928 235
2 18 196 0.93 237
2 19 188 0.925 232
2 20 196 0.974 234
2 21 193 0.907 233
2 22 193 0.937 231
2 23 192 0.932 232
2 24 195 0.938 229
2 25 192 0.932 231
2 26 195 0.917 234
2 27 201 0.924 226
2 28 199 0.944 231
2 29 196 0.93 229
2 30 213 0.949 231
2 31 189 0.909 228
2 32 191 0.949 227
2 33 186 0.933 230
2 34 204 0.938 238
2 35 185 0.89 234
2 36 198 0.91 237
2 37 181 0.952 236
2 38 180 0.947 232
2 39 183 0.963 230
2 40 159 0.91 232
2 41 171 0.944 235
2 42 163 0.91 234
2 43 186 0.895 230
2 44 167 0.932 224
2 45 155 0.978 228
2 46 173 0.932 229
2 47 180 0.938 224
2 48 229 0.92 217
3 1 252 0.917 223
3 2 226 0.935 228
3 3 229 0.947 229
3 4 208 0.898 228
3 5 169 0.92 232
3 6 196 0.922 237
3 7 173 0.932 235
3 8 205 0.913 230
3 9 181 0.912 238
3 10 198 0.931 240
3 11 186 0.956 237
3 12 191 0.928 238
3 13 172 0.974 236
3 14 204 0.938 239
3 15 182 0.905 234
3 16 181 0.9 231
3 17 198 0.952 234
3 18 197 0.926 237
3 19 204 0.959 239
3 20 198 0.931 238
3 21 199 0.915 236
3 22 192 0.924 236
3 23 212 0.904 235
3 24 196 0.922 237
3 25 203 0.933 234
3 26 200 0.962 233
3 27 188 0.913 233
3 28 196 0.952 230
3 29 208 0.935 230
3 30 204 0.938 236
3 31 212 0.924 231
3 32 216 0.875 235
3 33 186 0.903 232
3 34 209 0.94 239
3 35 153 0.931 228
3 36 142 0.91 229
3 37 165 0.877 228
3 38 173 0.932 233
3 39 178 0.876 238
3 40 184 0.945 239
3 41 178 0.927 234
3 42 182 0.958 236
3 43 170 0.916 236
3 44 173 0.932 230
3 45 176 0.949 229
3 46 188 0.943 231
3 47 184 0.923 225
3 48 187 0.899 223
4 1 260 0.909 227
4 2 210 0.907 229
4 3 218 0.921 235
4 4 207 0.931 242
