#row  column  size-1  circ-1  MedInt-1
1 1 325 0.942 225
1 2 235 0.932 224
1 3 233 0.916 223
1 4 228 0.904 224
1 5 217 0.906 228
1 6 214 0.874 229
1 7 200 0.919 234
1 8 200 0.891 229
1 9 204 0.959 236
1 10 197 0.906 239
1 11 194 0.912 234
1 12 165 0.944 239
1 13 171 0.9 238
1 14 171 0.922 240
1 15 163 0.942 240
1 16 157 0.931 241
1 17 156 0.925 238
1 18 170 0.949 238
1 19 161 0.898 239
1 20 168 0.937 241
1 21 169 0.943 242
1 22 164 0.906 240
1 23 162 0.936 240
1 24 156 0.925 236
1 25 176 0.926 239
1 26 157 0.876 236
1 27 165 0.944 240
1 28 172 0.927 237
1 29 162 0.96 235
1 30 162 0.927 237
1 31 171 0.9 235
1 32 168 0.937 235
1 33 154 0.913 235
1 34 139 0.935 234
1 35 164 0.906 238
1 36 143 0.926 239
1 37 165 0.889 239
1 38 148 0.959 235
1 39 158 0.927 238
1 40 162 0.904 237
1 41 153 0.907 233
1 42 166 0.895 235
1 43 158 0.937 230
1 44 165 0.889 227
1 45 194 0.912 226
1 46 206 0.926 220
1 47 206 0.926 218
1 48 253 0.902 225
2 1 257 0.943 219
2 2 184 0.923 228
2 3 179 0.92 226
2 4 174 0.916 232
2 5 166 0.917 232
2 6 160 0.939 236
2 7 177 0.931 240
2 8 197 0.926 237
2 9 166 0.95 238
2 10 175 0.943 238
2 11 148 0.924 230
2 12 180 0.938 239
2 13 174 0.907 232
2 14 176 0.958 239
2 15 166 0.959 240
2 16 164 0.928 238
2 17 164 0.884 240
2 18 172 0.95 241
2 19 178 0.959 239
2 20 145 0.95 239
2 21 170 0.916 242
2 22 157 0.898 237
2 23 164 0.906 235
2 24 166 0.917 237
2 25 165 0.911 237
2 26 163 0.956 234
2 27 180 0.947 234
2 28 169 0.943 235
2 29 167 0.965 233
2 30 174 0.929 236
2 31 163 0.9 237
2 32 172 0.95 235
2 33 179 0.942 236
2 34 138 0.861 235
2 35 154 0.927 237
2 36 128 0.852 239
2 37 155 0.919 236
2 38 150 0.972 234
2 39 148 0.868 237
2 40 137 0.963 232
2 41 151 0.918 236
2 42 126 0.948 236
2 43 127 0.893 233
2 44 138 0.918 231
2 45 127 0.918 229
