#row  column  size-1  circ-1  MedInt-1
1 1 314 0.917 223
1 2 233 0.916 226
1 3 230 0.932 225
1 4 230 0.912 225
1 5 220 0.91 227
1 6 220 0.883 232
1 7 211 0.92 235
1 8 220 0.938 230
1 9 219 0.926 233
1 10 202 0.908 231
1 11 206 0.947 234
1 12 180 0.938 241
1 13 198 0.94 235
1 14 176 0.926 239
1 15 182 0.935 239
1 16 189 0.909 241
1 17 186 0.924 240
1 18 177 0.922 230
1 19 131 0.849 234
1 20 174 0.916 239
1 21 189 0.939 245
1 22 170 0.907 240
1 23 172 0.927 240
1 24 172 0.927 241
1 25 176 0.926 236
1 26 175 0.85 237
1 27 182 0.905 236
1 28 174 0.947 236
1 29 175 0.921 236
1 30 177 0.909 237
1 31 188 0.934 236
1 32 161 0.944 233
1 33 182 0.926 238
1 34 173 0.942 234
1 35 161 0.889 236
1 36 170 0.926 241
1 37 160 0.948 236
1 38 155 0.909 238
1 39 162 0.936 231
1 40 157 0.965 240
1 41 170 0.949 234
1 42 181 0.9 234
1 43 182 0.935 230
1 44 170 0.926 222
1 45 204 0.917 221
1 46 217 0.925 219
1 47 203 0.913 220
1 48 267 0.852 222
2 1 242 0.88 216
2 2 199 0.936 228
2 3 185 0.941 228
2 4 191 0.949 234
2 5 189 0.939 238
2 6 172 0.96 234
2 7 183 0.931 241
2 8 202 0.88 239
2 9 172 0.896 235
2 10 184 0.914 236
2 11 162 0.95 236
2 12 158 0.895 234
2 13 189 0.939 236
2 14 190 0.944 241
2 15 189 0.909 239
2 16 193 0.959 241
2 17 172 0.905 239
2 18 184 0.927 240
2 19 191 0.928 241
2 20 168 0.961 236
2 21 170 0.903 236
2 22 183 0.94 238
2 23 182 0.935 240
2 24 171 0.931 238
2 25 183 0.901 237
2 26 183 0.901 240
2 27 186 0.946 233
2 28 188 0.934 234
2 29 181 0.952 236
2 30 203 0.933 240
2 31 181 0.952 239
2 32 179 0.881 241
2 33 189 0.939 236
2 34 169 0.911 234
2 35 187 0.951 241
2 36 179 0.92 239
2 37 159 0.943 237
2 38 156 0.821 236
2 39 170 0.939 241
2 40 151 0.928 235
2 41 151 0.953 233
2 42 140 0.907 231
2 43 145 0.929 232
2 44 152 0.924 228
2 45 148 0.959 233
2 46 141 0.964 228
2 47 156 0.925 224
2 48 212 0.944 218
3 1 250 0.925 234
3 2 182 0.856 228
3 3 209 0.94 233
3 4 177 0.88 227
3 5 190 0.914 240
3 6 187 0.92 238
3 7 164 0.948 232
3 8 174 0.916 236
3 9 180 0.895 239
3 10 159 0.866 240
3 11 184 0.945 238
3 12 147 0.8 234
3 13 188 0.934 237
3 14 170 0.939 235
3 15 190 0.902 237
3 16 186 0.924 238
3 17 179 0.861 240
3 18 157 0.867 231
3 19 189 0.948 242
3 20 174 0.916 236
3 21 185 0.928 240
3 22 160 0.902 240
3 23 181 0.93 238
3 24 176 0.917 240
3 25 192 0.903 239
3 26 193 0.937 237
3 27 170 0.916 236
3 28 188 0.943 234
3 29 202 0.929 234
3 30 186 0.933 234
3 31 191 0.94 235
3 32 195 0.925 240
3 33 195 0.938 237
3 34 178 0.946 242
3 35 140 0.874 234
3 36 105 0.884 231
3 37 162 0.927 240
3 38 161 0.921 239
3 39 157 0.898 236
3 40 165 0.944 240
3 41 146 0.972 237
3 42 160 0.939 239
3 43 151 0.942 236
3 44 149 0.897 233
3 45 123 0.899 229
3 46 166 0.959 231
3 47 181 0.976 229
3 48 163 0.887 228
4 1 233 0.898 231
4 2 207 0.922 235
4 3 205 0.955 233
4 4 200 0.94 239
4 5 185 0.928 240
4 6 207 0.952 241
4 7 174 0.961 240
4 8 204 0.938 236
4 9 180 0.947 236
4 10 184 0.936 236
4 11 185 0.928 238
4 12 186 0.895 243
4 13 169 0.911 239
4 14 190 0.944 243
4 15 178 0.915 243
4 16 189 0.909 244
4 17 192 0.911 243
4 18 199 0.936 244
4 19 185 0.941 240
4 20 197 0.926 244
4 21 200 0.94 239
4 22 161 0.889 236
4 23 173 0.91 236
4 24 188 0.904 240
4 25 194 0.933 239
4 26 191 0.972 238
4 27 182 0.884 233
4 28 196 0.922 242
4 29 198 0.94 234
4 30 202 0.92 237
4 31 160 0.884 236
4 32 194 0.942 239
4 33 174 0.971 238
4 34 171 0.9 236
4 35 135 0.96 237
4 36 112 0.915 230
4 37 148 0.934 235
4 38 124 0.872 233
4 39 149 0.92 235
4 40 115 0.876 227
4 41 165 0.954 239
4 42 151 0.978 237
4 43 125 0.914 238
4 44 151 0.918 236
4 45 149 0.93 235
4 46 139 0.925 234
4 47 147 0.928 228
4 48 183 0.918 230
5 1 263 0.895 234
5 2 202 0.908 234
5 3 200 0.94 239
5 4 183 0.931 235
5 5 186 0.933 239
5 6 194 0.892 238
5 7 139 0.901 234
5 8 159 0.91 238
5 9 186 0.979 244
5 10 185 0.941 239
5 11 159 0.943 238
5 12 156 0.949 233
5 13 205 0.942 238
5 14 190 0.944 240
5 15 182 0.926 240
5 16 159 0.943 244
5 17 122 0.918 232
5 18 84 0.88 229
5 19 157 0.907 239
5 20 150 0.912 237
5 21 174 0.907 232
5 22 175 0.912 232
5 23 186 0.924 240
5 24 178 0.915 236
5 25 147 0.928 236
5 26 160 0.973 229
5 27 187 0.899 237
5 28 199 0.915 237
5 29 46 0.992 218
5 30 37 0.969 221
5 31 175 0.921 235
5 32 180 0.947 239
5 33 119 0.973 232
5 34 130 0.924 230
5 35 177 0.851 239
5 36 161 0.859 240
5 37 109 0.918 237
5 38 123 0.936 239
5 39 117 0.985 233
5 40 148 0.91 237
5 41 154 0.927 240
5 42 167 0.955 239
5 43 154 0.961 237
5 44 158 0.937 241
