#row  column  size-1  circ-1  MedInt-1
6 25 118 0.936 234
6 26 122 0.892 231
6 27 170 0.949 236
6 28 189 0.939 241
6 29 54 0.863 224
6 30 42 0.971 221
6 31 157 0.955 235
6 32 152 0.892 237
6 33 121 0.895 234
6 34 112 0.904 233
6 35 160 0.939 240
6 36 158 0.961 238
6 37 91 0.935 233
6 38 111 0.964 234
6 39 115 0.928 234
6 40 124 0.944 238
6 41 158 0.937 241
6 42 151 0.909 238
6 43 117 0.906 234
6 44 157 0.931 240
6 45 150 0.936 239
6 46 152 0.892 234
6 47 134 0.868 231
6 48 145 0.829 232
7 1 239 0.884 236
7 2 195 0.88 238
7 3 194 0.912 236
7 4 181 0.952 237
7 5 186 0.956 241
7 6 184 0.914 241
7 7 99 0.86 237
7 8 109 0.907 238
7 9 173 0.91 243
7 10 163 0.91 241
7 11 158 0.927 238
7 12 190 0.873 241
7 13 156 0.925 240
7 14 149 0.93 241
7 15 176 0.875 242
7 16 163 0.932 240
7 17 169 0.889 246
7 18 175 0.912 244
7 19 169 0.92 246
7 20 166 0.904 242
7 21 166 0.926 237
7 22 168 0.961 240
7 23 167 0.955 238
7 24 171 0.922 241
7 25 181 0.879 240
7 26 178 0.906 241
7 27 168 0.937 241
7 28 178 0.959 239
7 29 197 0.957 242
7 30 188 0.934 239
7 31 95 0.932 227
7 32 92 0.932 229
7 33 171 0.9 242
7 34 169 0.933 240
7 35 149 0.94 241
7 36 163 0.942 242
7 37 175 0.921 242
7 38 148 0.9 237
7 39 110 0.967 238
7 40 111 0.964 236
7 41 160 0.948 241
7 42 151 0.928 240
7 43 140 0.968 238
7 44 151 0.928 240
7 45 151 0.886 237
7 46 148 0.847 240
7 47 159 0.91 233
7 48 209 0.911 234
8 1 253 0.885 240
8 2 205 0.934 235
8 3 191 0.878 241
8 4 174 0.885 238
8 5 177 0.931 241
8 6 182 0.905 241
8 7 71 0.77 231
8 8 108 0.91 231
8 9 168 0.855 239
8 10 162 0.895 239
8 11 166 0.95 236
8 12 153 0.921 237
8 13 148 0.959 237
8 14 162 0.936 240
8 15 161 0.921 244
8 16 162 0.895 243
8 17 156 0.939 242
8 18 158 0.937 237
8 19 168 0.937 241
8 20 170 0.894 244
8 21 165 0.944 237
8 22 174 0.938 241
8 23 159 0.837 241
8 24 178 0.937 241
8 25 180 0.916 234
8 26 187 0.929 238
8 27 178 0.937 239
8 28 181 0.976 240
8 29 181 0.976 236
8 30 175 0.943 238
8 31 99 -1.0 229
8 32 83 0.946 230
8 33 166 0.917 237
8 34 175 0.921 240
8 35 171 0.944 241
8 36 155 0.909 238
8 37 150 0.936 235
8 38 169 0.88 242
8 39 106 0.962 235
8 40 103 0.965 231
8 41 171 0.944 240
8 42 152 0.901 236
8 43 154 0.937 243
8 44 141 0.913 239
8 45 154 0.903 239
8 46 162 0.873 238
8 47 141 0.938 233
8 48 208 0.927 232
9 1 261 0.931 242
9 2 226 0.935 242
9 3 194 0.942 233
9 4 185 0.941 239
9 5 173 0.923 244
9 6 173 0.932 240
9 7 176 0.926 236
9 8 172 0.936 241
9 9 174 0.916 242
9 10 175 0.912 238
9 11 157 0.98 240
9 12 165 0.93 244
9 13 163 0.879 241
9 14 158 0.873 245
9 15 150 0.912 235
9 16 154 0.937 235
9 17 167 0.9 240
9 18 160 0.884 239
9 19 177 0.909 241
9 20 166 0.926 244
9 21 157 0.867 240
9 22 178 0.959 241
9 23 168 0.906 239
9 24 163 0.966 240
9 25 193 0.907 240
9 26 166 0.974 238
9 27 162 0.904 235
9 28 148 0.959 234
9 29 180 0.925 238
9 30 173 0.932 238
9 31 176 0.917 238
9 32 192 0.903 238
9 33 174 0.938 238
9 34 165 0.944 241
9 35 161 0.898 239
9 36 179 0.92 239
9 37 128 0.936 232
9 38 133 0.92 234
9 39 136 0.881 237
9 40 165 0.889 243
9 41 135 0.96 238
9 42 143 0.916 241
9 43 155 0.919 239
9 44 175 0.89 240
9 45 127 0.929 237
9 46 125 0.914 235
9 47 193 0.887 237
9 48 231 0.916 240
10 1 268 0.902 239
10 2 212 0.916 238
10 3 192 0.924 237
10 4 169 0.933 234
10 5 175 0.943 241
10 6 149 0.965 238
10 7 174 0.938 245
10 8 159 0.933 242
10 9 162 0.985 244
10 10 170 0.916 242
10 11 148 0.924 241
10 12 154 0.913 241
10 13 171 0.922 243
10 14 163 0.9 242
10 15 154 0.913 238
10 16 155 0.909 235
10 17 193 0.95 242
10 18 164 0.938 240
10 19 158 0.927 239
10 20 166 0.926 243
10 21 178 0.856 238
10 22 168 0.835 241
10 23 171 0.922 242
10 24 174 0.947 235
10 25 161 0.898 238
