# Image analyzed by HT colony grid analyzer 1.1.7 on 03-17-2013 15:12:52
1 1 280 0.91 227
1 2 228 0.943 224
1 3 244 0.895 222
1 4 211 0.92 225
1 5 214 0.913 232
1 6 217 0.946 230
1 7 185 0.898 235
1 8 194 0.933 235
1 9 206 0.918 232
1 10 213 0.908 237
1 11 193 0.937 232
1 12 180 0.925 235
1 13 143 0.87 234
1 14 193 0.887 237
1 15 196 0.943 237
1 16 200 0.919 236
1 17 144 0.854 237
1 18 198 0.902 230
1 19 190 0.923 233
1 20 204 0.909 233
1 21 207 0.931 231
1 22 221 0.942 232
1 23 220 0.938 228
1 24 231 0.936 229
1 25 262 0.942 228
1 26 235 0.932 225
1 27 205 0.902 228
1 28 237 0.913 227
1 29 218 0.902 226
1 30 227 0.9 230
1 31 161 0.847 231
1 32 207 0.931 232
1 33 217 0.946 233
1 34 178 0.885 230
1 35 195 0.896 226
1 36 164 0.915 237
1 37 139 0.935 229
1 38 204 0.909 231
1 39 174 0.894 232
1 40 178 0.915 230
1 41 201 0.924 231
1 42 219 0.879 228
1 43 213 0.9 223
1 44 206 0.938 221
1 45 239 0.921 221
1 46 247 0.925 217
1 47 203 0.913 221
1 48 265 0.845 223
2 1 242 0.932 217
2 2 180 0.895 217
2 3 193 0.916 223
2 4 189 0.861 230
2 5 194 0.964 232
2 6 187 0.92 231
2 7 195 0.947 240
2 8 205 0.913 239
2 9 188 0.956 234
2 10 166 0.895 238
2 11 150 0.889 231
2 12 166 0.873 237
2 13 187 0.961 235
2 14 182 0.935 238
2 15 190 0.944 236
2 16 182 0.884 238
2 17 174 0.885 235
2 18 190 0.893 238
2 19 192 0.883 237
2 20 164 0.928 238
2 21 178 0.927 235
2 22 187 0.929 234
2 23 187 0.929 233
2 24 193 0.92 236
2 25 182 0.935 231
2 26 173 0.932 234
2 27 189 0.939 233
2 28 140 0.83 231
2 29 207 0.922 234
2 30 180 0.866 236
2 31 208 0.898 235
2 32 185 0.973 233
2 33 188 0.892 235
2 34 189 0.918 238
2 35 185 0.911 237
2 36 188 0.934 237
2 37 188 0.956 238
2 38 158 0.882 230
2 39 168 0.937 237
2 40 149 0.93 233
2 41 147 0.978 233
2 42 156 0.949 234
2 43 177 0.931 236
2 44 172 0.927 230
2 45 155 0.933 229
2 46 120 0.843 224
2 47 141 0.88 223
2 48 238 0.909 220
3 1 245 0.891 228
3 2 204 0.889 229
3 3 215 0.937 231
3 4 173 0.832 232
3 5 192 0.903 236
3 6 192 0.932 237
3 7 184 0.906 234
3 8 200 0.919 238
3 9 194 0.933 237
3 10 190 0.893 238
3 11 180 0.903 240
3 12 155 0.874 236
3 13 176 0.949 239
3 14 183 0.963 241
3 15 200 0.911 234
3 16 163 0.841 236
3 17 184 0.914 239
3 18 174 0.907 239
3 19 194 0.964 236
3 20 200 0.88 239
3 21 191 0.949 238
3 22 181 0.943 237
3 23 213 0.881 238
3 24 178 0.937 233
3 25 200 0.899 237
3 26 196 0.901 237
3 27 192 0.924 238
3 28 187 0.879 233
3 29 205 0.913 233
3 30 181 0.871 232
3 31 207 0.902 235
